,name,Worldwide_Box_Office,number_of_movies,average_box,link
5786,Andrew Cheney,"$1,415,128",2,"$707,564",https://www.the-numbers.com/person/733920401-Andrew-Cheney
5787,Moira Kelly,"$1,415,010",2,"$707,505",https://www.the-numbers.com/person/76450401-Moira-Kelly
5788,Jason Jones,"$1,414,733",2,"$707,367",https://www.the-numbers.com/person/764500401-Jason-Jones
5789,Colton Dunn,"$1,405,548",1,"$1,405,548",https://www.the-numbers.com/person/1153400401-Colton-Dunn
5790,Burnie Burns,"$1,405,548",1,"$1,405,548",https://www.the-numbers.com/person/1153370401-Burnie-Burns
5791,Allie DeBerry,"$1,405,548",1,"$1,405,548",https://www.the-numbers.com/person/1153410401-Allie-DeBerry
5792,Gavin Free,"$1,405,548",1,"$1,405,548",https://www.the-numbers.com/person/1153380401-Gavin-Free
5793,Michael Jones,"$1,405,548",1,"$1,405,548",https://www.the-numbers.com/person/1153390401-Michael-Jones
5794,Farah Khan,"$1,401,090",1,"$1,401,090",https://www.the-numbers.com/person/397410401-Farah-Khan
5795,Logan Huffman,"$1,399,787",4,"$349,947",https://www.the-numbers.com/person/719930401-Logan-Huffman
5796,Shelley Conn,"$1,398,295",2,"$699,148",https://www.the-numbers.com/person/31030401-Shelley-Conn
5797,Shuli Rand,"$1,397,999",1,"$1,397,999",https://www.the-numbers.com/person/118370401-Shuli-Rand
5798,Michal Bat Sheva Rand,"$1,397,999",1,"$1,397,999",https://www.the-numbers.com/person/118360401-Michal-Bat-Sheva-Rand
5799,John Schneider,"$1,396,734",5,"$279,347",https://www.the-numbers.com/person/128260401-John-Schneider
5800,William Mapother,"$1,392,649",2,"$696,325",https://www.the-numbers.com/person/91810401-William-Mapother
5801,Richard Portnow,"$1,392,649",1,"$1,392,649",https://www.the-numbers.com/person/115810401-Richard-Portnow
5802,Charlie Carver,"$1,392,649",1,"$1,392,649",https://www.the-numbers.com/person/894150401-Charlie-Carver
5803,Melora Walters,"$1,392,649",2,"$696,325",https://www.the-numbers.com/person/148600401-Melora-Walters
5804,Shannon Tarbet,"$1,388,359",2,"$694,180",https://www.the-numbers.com/person/1058500401-Shannon-Tarbet
5805,Rupert Penry-Jones,"$1,388,359",1,"$1,388,359",https://www.the-numbers.com/person/112770401-Rupert-Penry-Jones
5806,Bill Paterson,"$1,388,359",1,"$1,388,359",https://www.the-numbers.com/person/111560401-Bill-Paterson
5807,Lauren Anne Miller,"$1,386,088",1,"$1,386,088",https://www.the-numbers.com/person/329580401-Lauren-Anne-Miller
5808,Alice Isaaz,"$1,376,173",2,"$688,087",https://www.the-numbers.com/person/1258140401-Alice-Isaaz
5809,Krysten Ritter,"$1,375,877",7,"$196,554",https://www.the-numbers.com/person/121840401-Krysten-Ritter
5810,Glenn Plummer,"$1,373,196",1,"$1,373,196",https://www.the-numbers.com/person/115030401-Glenn-Plummer
5811,Shohreh Aghdashloo,"$1,367,429",2,"$683,715",https://www.the-numbers.com/person/2760401-Shohreh-Aghdashloo
5812,Hakan Yufkacigil,"$1,364,179",1,"$1,364,179",https://www.the-numbers.com/person/1750490401-Hakan-Yufkacigil
5813,Yetkin Kikinciler,"$1,364,179",1,"$1,364,179",https://www.the-numbers.com/person/1750460401-Yetkin-Kikinciler
5814,Nur FettahoÄlu,"$1,364,179",1,"$1,364,179",https://www.the-numbers.com/person/1750470401-Nur-FettahoA-lu
5815,Erkan Petekkaya,"$1,364,179",1,"$1,364,179",https://www.the-numbers.com/person/1750440401-Erkan-Petekkaya
5816,Ä°smail Filiz,"$1,364,179",1,"$1,364,179",https://www.the-numbers.com/person/1750480401-A-smail-Filiz
5817,Cem UÃ§an,"$1,364,179",1,"$1,364,179",https://www.the-numbers.com/person/1750450401-Cem-UA-an
5818,Gabriel Basso,"$1,362,609",1,"$1,362,609",https://www.the-numbers.com/person/244970401-Gabriel-Basso
5819,Christian Friedel,"$1,361,530",1,"$1,361,530",https://www.the-numbers.com/person/1367420401-Christian-Friedel
5820,Brooke Smith,"$1,353,824",1,"$1,353,824",https://www.the-numbers.com/person/133640401-Brooke-Smith
5821,Tiera Skovbye,"$1,349,284",1,"$1,349,284",https://www.the-numbers.com/person/1457220401-Tiera-Skovbye
5822,Nathan Stevens,"$1,348,630",1,"$1,348,630",https://www.the-numbers.com/person/137040401-Nathan-Stevens
5823,Kimball Stinger,"$1,348,630",1,"$1,348,630",https://www.the-numbers.com/person/1050970401-Kimball-Stinger
5824,Tannishtha Chatterjee,"$1,346,495",1,"$1,346,495",https://www.the-numbers.com/person/832420401-Tannishtha-Chatterjee
5825,Surveen Chawla,"$1,346,495",2,"$673,248",https://www.the-numbers.com/person/730220401-Surveen-Chawla
5826,Alejandra Barros,"$1,339,911",1,"$1,339,911",https://www.the-numbers.com/person/229710401-Alejandra-Barros
5827,Martina Garcia,"$1,339,911",2,"$669,956",https://www.the-numbers.com/person/229720401-Martina-Garcia
5828,Kate Box,"$1,337,808",1,"$1,337,808",https://www.the-numbers.com/person/1003440401-Kate-Box
5829,Kate Mulvany,"$1,337,808",1,"$1,337,808",https://www.the-numbers.com/person/480230401-Kate-Mulvany
5830,Patrick Brammall,"$1,337,808",1,"$1,337,808",https://www.the-numbers.com/person/263050401-Patrick-Brammall
5831,Josef Hader,"$1,336,816",2,"$668,408",https://www.the-numbers.com/person/1345620401-Josef-Hader
5832,Ynairaly Simo,"$1,336,371",1,"$1,336,371",https://www.the-numbers.com/person/1930170401-Ynairaly-Simo
5833,Maaya Sakamoto,"$1,332,311",1,"$1,332,311",https://www.the-numbers.com/person/211090401-Maaya-Sakamoto
5834,Hayley Squires,"$1,330,962",1,"$1,330,962",https://www.the-numbers.com/person/1299680401-Hayley-Squires
5835,Reece Shearsmith,"$1,330,962",1,"$1,330,962",https://www.the-numbers.com/person/737410401-Reece-Shearsmith
5836,Joel Fry,"$1,330,962",1,"$1,330,962",https://www.the-numbers.com/person/1398680401-Joel-Fry
5837,Ellora Torchia,"$1,330,962",1,"$1,330,962",https://www.the-numbers.com/person/1247830401-Ellora-Torchia
5838,Yeo Yann Yann,"$1,328,680",1,"$1,328,680",https://www.the-numbers.com/person/779850401-Yeo-Yann-Yann
5839,Drew Waters,"$1,327,841",1,"$1,327,841",https://www.the-numbers.com/person/364080401-Drew-Waters
5840,Thomas Turgoose,"$1,326,415",1,"$1,326,415",https://www.the-numbers.com/person/144360401-Thomas-Turgoose
5841,Danuta Stenka,"$1,325,591",1,"$1,325,591",https://www.the-numbers.com/person/1819420401-Danuta-Stenka
5842,Jacek Koman,"$1,325,591",1,"$1,325,591",https://www.the-numbers.com/person/79390401-Jacek-Koman
5843,Maciej Musialowski,"$1,325,591",1,"$1,325,591",https://www.the-numbers.com/person/1818760401-Maciej-Musialowski
5844,Vanessa Aleksander,"$1,325,591",1,"$1,325,591",https://www.the-numbers.com/person/1818770401-Vanessa-Aleksander
5845,Carrie MacLemor,"$1,324,299",1,"$1,324,299",https://www.the-numbers.com/person/346310401-Carrie-MacLemor
5846,Finnegan Oldfield,"$1,317,130",1,"$1,317,130",https://www.the-numbers.com/person/1096270401-Finnegan-Oldfield
5847,Christopher Meloni,"$1,316,260",3,"$438,753",https://www.the-numbers.com/person/97810401-Christopher-Meloni
5848,Alberto San Juan,"$1,310,814",2,"$655,407",https://www.the-numbers.com/person/126620401-Alberto-San-Juan
5849,Cinthya Carmona,"$1,309,971",2,"$654,986",https://www.the-numbers.com/person/1767650401-Cinthya-Carmona
5850,Bobby Soto,"$1,309,971",1,"$1,309,971",https://www.the-numbers.com/person/1508680401-Bobby-Soto
5851,Berenice Marlohe,"$1,309,602",4,"$327,401",https://www.the-numbers.com/person/434340401-Berenice-Marlohe
5852,Emily Hahn,"$1,308,181",2,"$654,091",https://www.the-numbers.com/person/166690401-Emily-Hahn
5853,Wood Harris,"$1,300,500",2,"$650,250",https://www.the-numbers.com/person/62420401-Wood-Harris
5854,Brian Benben,"$1,299,060",1,"$1,299,060",https://www.the-numbers.com/person/12820401-Brian-Benben
5855,Marco Leonardi,"$1,297,796",1,"$1,297,796",https://www.the-numbers.com/person/84640401-Marco-Leonardi
5856,Peppino Mazzotta,"$1,297,796",1,"$1,297,796",https://www.the-numbers.com/person/1010720401-Peppino-Mazzotta
5857,Mila Alzahrani,"$1,297,269",1,"$1,297,269",https://www.the-numbers.com/person/1746650401-Mila-Alzahrani
5858,Jake Ryan,"$1,292,290",1,"$1,292,290",https://www.the-numbers.com/person/480310401-Jake-Ryan
5859,Mathilde Seigner,"$1,288,930",1,"$1,288,930",https://www.the-numbers.com/person/1258130401-Mathilde-Seigner
5860,Ambyr Childers,"$1,288,555",2,"$644,278",https://www.the-numbers.com/person/277610401-Ambyr-Childers
5861,Onata Aprile,"$1,286,501",1,"$1,286,501",https://www.the-numbers.com/person/466490401-Onata-Aprile
5862,Vivaan Shah,"$1,283,333",2,"$641,667",https://www.the-numbers.com/person/923470401-Vivaan-Shah
5863,Luciana Pedraza,"$1,282,877",1,"$1,282,877",https://www.the-numbers.com/person/112350401-Luciana-Pedraza
5864,Ayline Akso-Etaix,"$1,276,977",1,"$1,276,977",https://www.the-numbers.com/person/1495260401-Ayline-Akso-Etaix
5865,John Clive,"$1,275,543",1,"$1,275,543",https://www.the-numbers.com/person/1500660401-John-Clive
5866,Paul Angelis,"$1,275,543",1,"$1,275,543",https://www.the-numbers.com/person/1500670401-Paul-Angelis
5867,Geoffrey Hughes,"$1,275,543",1,"$1,275,543",https://www.the-numbers.com/person/1500650401-Geoffrey-Hughes
5868,Sarah Adler,"$1,274,536",1,"$1,274,536",https://www.the-numbers.com/person/1470240401-Sarah-Adler
5869,Tim Kalkhof,"$1,274,536",1,"$1,274,536",https://www.the-numbers.com/person/1470250401-Tim-Kalkhof
5870,Roy Miller,"$1,274,536",1,"$1,274,536",https://www.the-numbers.com/person/1470260401-Roy-Miller
