,name,Worldwide_Box_Office,number_of_movies,average_box,link
2652,Tobis Film GMBH & Co.,"$5,845,732",2,"$12,778,309",https://www.the-numbers.com/movies/production-company/Tobis-Film-GMBH-and-Co
2653,KG,"$5,845,732",1,"$12,407,491",https://www.the-numbers.com/movies/production-company/KG
2654,Efcine,"$5,842,961",1,"$13,725,819",https://www.the-numbers.com/movies/production-company/Efcine
2655,"Dos Corazones, S.A. de C.V.","$5,835,654",2,"$12,672,246",https://www.the-numbers.com/movies/production-company/Corazones-Dos
2656,21st Century Film Corporation,"$5,835,247",1,"$5,835,247",https://www.the-numbers.com/movies/production-company/21st-Century-Film-Corporation
2657,Cinemage 4,"$5,832,656",4,"$88,115,301",https://www.the-numbers.com/movies/production-company/Cinemage-4
2658,Sidus FNH,"$5,824,301",3,"$21,719,555",https://www.the-numbers.com/movies/production-company/Sidus-FNH
2659,Big Hit Entertainment,"$5,809,800",2,"$23,632,507",https://www.the-numbers.com/movies/production-company/Big-Hit-Entertainment
2660,Ambi Media Group,"$5,801,249",8,"$11,282,218",https://www.the-numbers.com/movies/production-company/Ambi-Media-Group
2661,AIC Movie Inc,"$5,801,249",1,"$9,694,569",https://www.the-numbers.com/movies/production-company/AIC-Movie-Inc
2662,SPK Pictures,"$5,797,517",2,"$15,162,392",https://www.the-numbers.com/movies/production-company/SPK-Pictures
2663,Creative England,"$5,776,493",22,"$34,606,186",https://www.the-numbers.com/movies/production-company/Creative-England
2664,Zoo,"$5,774,039",3,"$10,951,639",https://www.the-numbers.com/movies/production-company/Zoo
2665,Thousand Words   ,"$5,763,875",1,"$7,863,875",https://www.the-numbers.com/movies/production-company/Thousand-Words
2666,"Lucky You Pictures, Inc.","$5,755,286",1,"$6,521,829",https://www.the-numbers.com/movies/production-company/Lucky-You-Pictures-Inc
2667,Lago Film,"$5,754,816",3,"$14,868,755",https://www.the-numbers.com/movies/production-company/Lago-Film
2668,Atlantic Producitions,"$5,751,141",3,"$10,894,223",https://www.the-numbers.com/movies/production-company/Atlantic-Productions
2669,Sky 3D,"$5,751,141",2,"$10,894,223",https://www.the-numbers.com/movies/production-company/Sky-3D
2670,On Sight,"$5,751,141",1,"$10,894,223",https://www.the-numbers.com/movies/production-company/On-Sight
2671,Vision 3,"$5,751,141",1,"$10,894,223",https://www.the-numbers.com/movies/production-company/Vision-3
2672,CVFX,"$5,751,141",1,"$10,894,223",https://www.the-numbers.com/movies/production-company/CVFX
2673,Image Abu Dhabi,"$5,749,134",1,"$8,869,722",https://www.the-numbers.com/movies/production-company/Image-Abu-Dhabi
2674,T-Series,"$5,737,129",12,"$16,806,199",https://www.the-numbers.com/movies/production-company/T-Series
2675,Film Four International,"$5,704,461",4,"$11,479,754",https://www.the-numbers.com/movies/production-company/Film-Four-International
2676,"Palm Pictures, LLC","$5,690,797",2,"$5,690,797",https://www.the-numbers.com/movies/production-company/Palm-Pictures-LLC
2677,Mystic Point Productions,"$5,676,110",1,"$8,558,693",https://www.the-numbers.com/movies/production-company/Mystic-Point-Productions
2678,The Mob Film Company,"$5,676,110",1,"$8,558,693",https://www.the-numbers.com/movies/production-company/Mob-Film-Company-The
